,region,hemisphere,CN,MCI,AD,AD-CN,feature
475,G_front_inf-Triangul,Right,-0.131416981270494,0.0623494435232608,-0.315831563471582,-0.184414582201089,sulcal_depth
476,S_intrapariet_and_P_trans,Right,-0.463099838561386,-0.1794057323827,-0.512605026901518,-0.0495051883401323,sulcal_depth
477,G_temporal_middle,Right,0.220326400208332,0.35690904284498,0.0496731974221324,-0.1706532027862,sulcal_depth
478,S_postcentral,Left,-0.415777144919558,-0.240415013265751,-0.537408848623842,-0.121631703704284,sulcal_depth
479,G_temp_sup-Plan_tempo,Right,-0.280974562021987,0.00225753189483742,-0.408515222582858,-0.127540660560871,sulcal_depth
480,S_orbital-H_Shaped,Left,0.0227407152089285,0.190398906154337,-0.143573582203861,-0.16631429741279,sulcal_depth
481,G_precuneus,Left,-0.079092652647632,0.0743331292200405,-0.18336326986625,-0.104270617218618,sulcal_depth
482,G_front_middle,Left,-0.318395540912562,-0.0868052361546534,-0.562277110551159,-0.243881569638597,sulcal_depth
483,G_oc-temp_med-Parahip,Right,0.0533777676485425,0.212915877275499,0.0926460568408463,0.0392682891923038,sulcal_depth
484,S_suborbital,Left,0.1425494503401,0.329466616906967,-0.103353059709764,-0.245902510049865,sulcal_depth
485,G_pariet_inf-Supramar,Right,-0.000911426963110312,0.259978508245817,-0.148136590831304,-0.147225163868194,sulcal_depth
486,S_precentral-sup-part,Right,-0.512308876387784,-0.21918105504359,-0.77887889069961,-0.266570014311827,sulcal_depth
487,G_and_S_transv_frontopol,Right,-0.19597964256421,0.0444858822355123,-0.467411193437314,-0.271431550873104,sulcal_depth
488,S_interm_prim-Jensen,Right,0.0106767408693593,0.308016483592653,-0.0951362258428719,-0.105812966712231,sulcal_depth
489,S_precentral-inf-part,Left,-0.210519195700786,-0.0328484004068122,-0.397923047667328,-0.187403851966542,sulcal_depth
490,G_cingul-Post-ventral,Right,-0.3110384929408,-0.0736713940796254,-0.269898278974718,0.0411402139660821,sulcal_depth
491,G_cingul-Post-dorsal,Right,0.145971140551427,0.314425885336683,0.0571839613669029,-0.0887871791845239,sulcal_depth
492,S_collat_transv_ant,Right,0.237639200172496,0.374120472078876,0.150522443695107,-0.0871167564773884,sulcal_depth
493,G_and_S_cingul-Mid-Ant,Right,-0.372336795315006,-0.236333318521346,-0.510382173190301,-0.138045377875295,sulcal_depth
494,S_temporal_sup,Right,-0.209399581211277,0.0117149391809669,-0.320714955248396,-0.111315374037119,sulcal_depth
495,G_parietal_sup,Left,-0.313532439341386,-0.0924220434409871,-0.491778815096416,-0.17824637575503,sulcal_depth
496,S_pericallosal,Left,0.117603137790786,0.232013982343034,0.140733563361912,0.0231304255711257,sulcal_depth
497,G_Ins_lg_and_S_cent_ins,Right,-0.194603125070155,0.0887143687014192,-0.423757625398871,-0.229154500328717,sulcal_depth
498,S_occipital_ant,Left,-0.190634088863478,-0.0163724562066037,-0.25867623418878,-0.0680421453253024,sulcal_depth
499,Lat_Fis-ant-Vertical,Right,-0.259349666493956,-0.0353820574598973,-0.436428146883297,-0.177078480389341,sulcal_depth
500,G_temp_sup-Lateral,Left,0.172029702174618,0.36082122673627,0.00426731762409317,-0.167762384550525,sulcal_depth
501,G_and_S_paracentral,Left,-0.34611143758431,-0.146546283613685,-0.434939960581483,-0.0888285229971734,sulcal_depth
502,S_parieto_occipital,Right,-0.34641353849296,-0.134668724771358,-0.456786890115094,-0.110373351622134,sulcal_depth
503,G_and_S_frontomargin,Left,-0.101657720280959,0.0826464484519483,-0.269175117985946,-0.167517397704987,sulcal_depth
504,G_occipital_middle,Right,0.104377523889026,0.288664660029166,-0.0835131722323653,-0.187890696121391,sulcal_depth
505,Pole_temporal,Left,0.353474597087899,0.49346746034745,0.311413990540681,-0.0420606065472181,sulcal_depth
506,G_postcentral,Left,-0.24769476784585,-0.0777888700153193,-0.401345879935343,-0.153651112089493,sulcal_depth
507,S_oc-temp_med_and_Lingual,Right,-0.16405231130404,-0.0390782377585314,-0.180111052154997,-0.0160587408509565,sulcal_depth
508,G_front_sup,Left,-0.225371526366654,-0.0435737678235987,-0.399925759824932,-0.174554233458278,sulcal_depth
509,G_orbital,Right,0.0323492168285014,0.235197892982245,-0.147732408103484,-0.180081624931986,sulcal_depth
510,S_circular_insula_sup,Left,-0.585873585856429,-0.305532777942335,-0.722991913300402,-0.137118327443972,sulcal_depth
511,S_cingul-Marginalis,Left,-0.233462465286385,-0.041982273812201,-0.349556436943797,-0.116093971657412,sulcal_depth
512,G_cuneus,Left,0.43598501030269,0.564314429983564,0.477523718131996,0.041538707829306,sulcal_depth
513,G_and_S_cingul-Ant,Left,-0.147740542831428,-0.0171629798530174,-0.307474693357059,-0.159734150525631,sulcal_depth
514,S_temporal_inf,Left,0.17179217690342,0.300872149832883,0.0916735123579018,-0.0801186645455177,sulcal_depth
515,S_oc_middle_and_Lunatus,Left,0.250116746847231,0.437325692305184,0.219781286097855,-0.0303354607493765,sulcal_depth
516,S_temporal_transverse,Left,-0.280194394923967,-0.076701853277067,-0.340237402455187,-0.06004300753122,sulcal_depth
517,S_oc-temp_lat,Left,0.529402178743119,0.695297925216879,0.477879051235602,-0.0515231275075172,sulcal_depth
518,S_front_sup,Left,-0.304162742392102,-0.0773506407550876,-0.507059773469991,-0.202897031077889,sulcal_depth
519,S_subparietal,Left,0.137438053106175,0.238452979156931,0.0320072871145564,-0.105430765991618,sulcal_depth
520,G_temp_sup-Plan_polar,Left,0.22262214451015,0.356474980773146,0.00886075408641149,-0.213761390423738,sulcal_depth
521,G_oc-temp_lat-fusifor,Left,0.105113291824895,0.334568540793537,-0.0105742525359087,-0.115687544360804,sulcal_depth
522,G_pariet_inf-Angular,Left,-0.24427680182035,-0.0471192206858983,-0.331631451649235,-0.0873546498288845,sulcal_depth
523,G_occipital_sup,Left,0.147003584235727,0.392622497800844,0.145135628433326,-0.00186795580240148,sulcal_depth
524,S_precentral-inf-part,Right,-0.203732810885287,-0.00942677059878026,-0.375977184257125,-0.172244373371838,sulcal_depth
525,G_rectus,Left,0.133579751314671,0.271771306777175,0.0271949078540452,-0.106384843460625,sulcal_depth
526,S_orbital_lateral,Right,-0.12453677469148,0.143970719998917,-0.498425359895712,-0.373888585204232,sulcal_depth
527,S_pericallosal,Right,-0.110019020376169,0.0613778873761784,-0.219155906585968,-0.109136886209799,sulcal_depth
528,S_occipital_ant,Right,-0.213493629356836,0.0168287098647123,-0.393654405677464,-0.180160776320628,sulcal_depth
529,G_temporal_inf,Right,0.350803438877888,0.447009190297564,0.231336417183492,-0.119467021694396,sulcal_depth
530,S_orbital_med-olfact,Left,0.278705295347362,0.419513916701506,0.125432267830903,-0.153273027516459,sulcal_depth
531,G_temp_sup-G_T_transv,Right,-0.126771102578525,0.0227497402486212,-0.141164019924085,-0.0143929173455599,sulcal_depth
532,S_calcarine,Left,-0.044070688148812,0.169760095763585,-0.14914558268001,-0.105074894531198,sulcal_depth
533,G_oc-temp_med-Lingual,Right,0.17424993946116,0.391121770175599,0.137128784069798,-0.0371211553913625,sulcal_depth
534,G_and_S_frontomargin,Right,-0.386246536500966,-0.2152685052833,-0.49090513128875,-0.104658594787784,sulcal_depth
535,G_and_S_cingul-Mid-Post,Left,-0.354399815083675,-0.150028363586848,-0.448477940007564,-0.0940781249238889,sulcal_depth
536,G_front_inf-Opercular,Right,0.152567511349279,0.354680477301879,0.00313035906499037,-0.149437152284289,sulcal_depth
537,G_postcentral,Right,-0.0143116655372459,0.275510212039511,-0.173844072289244,-0.159532406751998,sulcal_depth
538,G_and_S_subcentral,Left,-0.290940514971708,-0.0703094753902399,-0.606483377134534,-0.315542862162826,sulcal_depth
539,S_front_inf,Right,-0.222555156572917,-0.00905942442691638,-0.419500167895856,-0.196945011322939,sulcal_depth
540,G_precentral,Left,-0.487493879233938,-0.213988257280476,-0.637700040915997,-0.15020616168206,sulcal_depth
541,G_front_sup,Right,-0.102791798987522,0.0859332220427035,-0.277829481645228,-0.175037682657706,sulcal_depth
542,G_subcallosal,Right,0.34860455600828,0.538461488186091,0.38656185034836,0.0379572943400797,sulcal_depth
543,S_circular_insula_sup,Right,-0.382030721979572,-0.153553775274251,-0.460505770414446,-0.078475048434874,sulcal_depth
544,S_circular_insula_inf,Left,-0.370076325474645,-0.097136754931265,-0.56352375101981,-0.193447425545164,sulcal_depth
545,G_and_S_occipital_inf,Left,0.0578387754713691,0.202743476062948,-0.0428417632846112,-0.10068053875598,sulcal_depth
546,G_cuneus,Right,0.143271845311062,0.322467479319556,0.114992536172077,-0.0282793091389854,sulcal_depth
547,G_front_inf-Triangul,Left,-0.00824462689316561,0.233028711245025,-0.258803453960267,-0.250558827067102,sulcal_depth
548,S_intrapariet_and_P_trans,Left,-0.223755416978708,-0.026089720165258,-0.307605761116561,-0.0838503441378534,sulcal_depth
549,S_collat_transv_post,Left,0.155750832773702,0.31902653121578,0.0456831653744848,-0.110067667399217,sulcal_depth
550,G_insular_short,Left,-0.178822338968128,0.0923790066979062,-0.437593397951163,-0.258771058983035,sulcal_depth
551,G_temp_sup-Plan_tempo,Left,-0.135479834222954,0.0474252226487507,-0.323361329439485,-0.187881495216532,sulcal_depth
552,S_postcentral,Right,0.0916443234057605,0.337137631023102,-0.0510602313962269,-0.142704554801987,sulcal_depth
553,S_oc-temp_lat,Right,0.33880704699585,0.422263887098628,0.156987493182436,-0.181819553813413,sulcal_depth
554,S_orbital-H_Shaped,Right,0.0115155827365843,0.158178774844669,-0.131021777855527,-0.142537360592111,sulcal_depth
555,G_oc-temp_med-Parahip,Left,0.0531345586965829,0.196874129413592,0.0910275639448382,0.0378930052482554,sulcal_depth
556,G_precuneus,Right,-0.210296513855083,0.057665480046898,-0.380226202402516,-0.169929688547432,sulcal_depth
557,Lat_Fis-ant-Horizont,Left,-0.0610170551209867,0.112066899248076,-0.295317462437512,-0.234300407316526,sulcal_depth
