region,hemisphere,CN,MCI,AD,AD-CN,MCI-CN
G_and_S_subcentral,Left,-0.159305536,0.22606896941716795,0.6394945051396388,0.7988000414707048,0.38537450574823395
Pole_occipital,Right,-0.788723374,-0.152931666,0.4780798223357268,1.2668031960288948,0.6357917073527576
S_cingul-Marginalis,Left,0.23764320659614008,0.7558171326040454,1.2830645900840099,1.0454213834878698,0.5181739260079052
S_precentral-sup-part,Left,0.1795952497852127,0.7091677214530107,0.7293054630153811,0.5497102132301684,0.529572472
G_insular_short,Right,-0.994031166,-0.188563056,0.33922203137344825,1.3332531977112974,0.8054681107826178
Lat_Fis-ant-Vertical,Left,0.23739997873262803,0.6242967817014848,1.453223072456714,1.215823093724086,0.3868968029688568
S_occipital_ant,Right,-0.973430769,-0.518401131,0.8695788484446743,1.8430096178671407,0.45502963816826614
G_cingul-Post-ventral,Left,0.080696784,0.8124476662559765,1.6461101100042468,1.5654133256700318,0.7317508819217615
G_front_inf-Orbital,Left,-1.353715258,-0.977909892,-0.105728522,1.2479867360017118,0.37580536599536474
S_subparietal,Left,-2.125797454,-2.008429228,-0.111592527,2.0142049268086972,0.11736822521173229
S_circular_insula_ant,Right,-0.523907166,0.2002749979550626,0.6395866485294858,1.163493814693485,0.7241821641190618
G_subcallosal,Left,-1.924616919,-1.709585055,-0.545044192,1.3795727270266043,0.2150318637960036
S_temporal_sup,Right,-0.568282915,-0.043828551,1.0831587081996177,1.6514416230041449,0.5244543634882701
G_Ins_lg_and_S_cent_ins,Right,-0.917909866,-0.298234507,0.2810124522683214,1.1989223184023592,0.6196753592495219
G_pariet_inf-Angular,Right,0.4175808542453124,0.928717182,1.4262037953175712,1.008622941072259,0.5111363273239615
S_calcarine,Left,0.009095852,0.6320143169247288,1.1255378146115695,1.1164419623630077,0.6229184646761671
G_temp_sup-G_T_transv,Left,1.333026023295512,1.7694182638441418,2.2271689474014003,0.8941429241058882,0.4363922405486298
G_precentral,Left,-0.203819033,0.40722725355023526,0.4919176531259058,0.6957366861007154,0.6110462865250449
G_temp_sup-Plan_tempo,Right,0.1899477423947337,0.6435062576571751,1.4823052465992086,1.2923575042044748,0.4535585152624414
G_rectus,Left,-1.337864664,-0.965871508,-0.001629386,1.336235278641453,0.37199315607031547
S_collat_transv_post,Right,-1.794004188,-1.349929011,0.20524442377145088,1.9992486120148691,0.4440751771707694
S_orbital-H_Shaped,Left,-1.231779733,-0.67183334,0.44599359112561743,1.6777733242851953,0.5599463928849625
Lat_Fis-ant-Horizont,Right,-0.013024385,0.4109598666192161,0.6038038803306389,0.616828265,0.42398425168501214
G_and_S_paracentral,Left,0.10154513806056407,0.8005938984476754,0.8017162984157522,0.7001711603551881,0.6990487603871113
Lat_Fis-post,Right,-0.514198296,0.18248852168097546,1.352296953950459,1.8664952496146177,0.6966868173451342
S_front_inf,Right,1.2987414955454695,1.9415076807633846,1.9146702357291707,0.6159287401837013,0.6427661852179152
S_central,Left,0.077051916,0.6912579434369431,0.7737711633657985,0.6967192469308616,0.6142060270020062
G_front_inf-Opercular,Right,1.0908352818443061,1.7109974486210366,1.7659585160412594,0.6751232341969533,0.6201621667767305
S_collat_transv_ant,Right,-1.908687135,-1.188405448,0.47897422056254885,2.3876613554199335,0.7202816866920474
G_and_S_occipital_inf,Left,-1.113602657,-0.737136695,0.106372746,1.2199754025540748,0.3764659613391833
S_parieto_occipital,Right,1.0479212678212932,1.5782586485228651,2.0497497602128028,1.0018284923915095,0.5303373807015719
G_and_S_cingul-Mid-Post,Left,-1.08010547,-0.705518101,-0.087250674,0.9928547963563661,0.37458736962166517
G_temp_sup-Lateral,Left,-0.26257157,0.087329976,1.156047993,1.4186195638073702,0.3499015468693791
G_and_S_cingul-Mid-Ant,Right,-1.333105512,-0.590416808,-0.455735415,0.877370097,0.7426887040833664
S_pericallosal,Right,0.43936621170027235,1.3402234134251598,1.0313902314083345,0.5920240197080622,0.9008572017248875
S_orbital_med-olfact,Right,0.2825365995931943,1.2792925055717494,0.9095905493897586,0.6270539497965643,0.9967559059785551
S_circular_insula_inf,Right,0.2417249847854411,0.907678958,1.7051071469384642,1.4633821621530232,0.6659539734261989
G_orbital,Left,-1.911705303,-1.349788563,-0.281859426,1.6298458774484677,0.5619167408135484
S_circular_insula_sup,Left,0.5534285171892435,1.1956961387271294,1.3851115908935592,0.8316830737043157,0.642267622
S_cingul-Marginalis,Right,0.8953603470918967,1.5421265554408927,1.6016879895673473,0.7063276424754505,0.646766208
S_precentral-sup-part,Average,0.3281942865676118,0.9712278901675173,0.780030815,0.45183652859961015,0.6430336035999056
G_cingul-Post-ventral,Average,-0.222955923,0.4948325083646305,1.317854998,1.5408109202834241,0.7177884310038445
G_front_inf-Orbital,Average,-1.193882627,-0.870840465,0.008208464,1.2020910918139436,0.3230421628381507
S_subparietal,Average,-0.879239375,-0.471656245,0.6515654191045608,1.5308047941937455,0.40758313
S_intrapariet_and_P_trans,Average,0.9517196118467615,1.4880582148344166,1.7611731055379551,0.8094534936911937,0.5363386029876551
G_subcallosal,Average,0.11194398930605753,0.6608389466843092,1.2202399564924105,1.1082959671863528,0.5488949573782517
S_oc-temp_lat,Average,-1.032916127,-0.507676854,0.9228770404137232,1.9557931674186704,0.5252392732067761
G_front_inf-Triangul,Average,0.7930382732461805,1.1954425449588206,1.5124810315168593,0.7194427582706788,0.40240427171264015
S_calcarine,Average,0.059072160343281416,0.6274101849267861,1.205848308232372,1.1467761478890908,0.5683380245835047
G_temp_sup-G_T_transv,Average,0.10813638347703391,0.6192805849909737,1.5424542450651393,1.4343178615881054,0.5111442015139398
