,region,hemisphere,F (CN),M (CN),F-M (CN)
21,G_and_S_cingul-Ant,Left,-1.0774877408192212,-0.3578641289102964,-0.7196236119089248
22,G_pariet_inf-Supramar,Left,-0.48089202409991383,0.11003266034961585,-0.5909246844495297
23,G_postcentral,Left,-0.35487785233615327,0.297054989502135,-0.6519328418382883
24,S_front_sup,Left,-0.2575767295392819,0.5052797708823995,-0.7628565004216814
25,Lat_Fis-ant-Vertical,Left,0.01898509637593358,0.5509946699451104,-0.5320095735691768
26,S_interm_prim-Jensen,Left,-0.8598161251591473,-0.04332714159727511,-0.8164889835618722
27,S_collat_transv_post,Right,-2.064299663545938,-1.337031719301146,-0.7272679442447918
28,G_front_inf-Orbital,Right,-1.3886505661118156,-0.5372016657564177,-0.8514489003553979
29,G_parietal_sup,Right,0.789043951416034,1.5381173689599308,-0.7490734175438968
30,G_temp_sup-Plan_polar,Left,-0.7442980757325895,-0.3618778267464303,-0.38242024898615923
31,S_circular_insula_inf,Left,1.088876041887668,1.6895188495685507,-0.6006428076808827
32,G_front_inf-Triangul,Left,0.2727341821024083,0.8255836972408997,-0.5528495151384915
33,Lat_Fis-post,Right,-0.8586496684185326,-0.09636246772613183,-0.7622872006924009
34,G_and_S_occipital_inf,Left,-1.4898029135917528,-0.7078779930578085,-0.7819249205339442
35,S_oc_middle_and_Lunatus,Left,-0.4115419223408718,0.014737210238383926,-0.4262791325792557
36,G_temp_sup-Lateral,Left,-0.4754339944411824,0.051287209432665515,-0.5267212038738479
37,G_and_S_cingul-Mid-Post,Left,-1.3928831749960182,-0.6334775144307547,-0.7594056605652635
38,G_oc-temp_med-Lingual,Left,0.6418119371444587,1.11876526523334,-0.47695332808888125
39,G_orbital,Left,-2.188366896800488,-1.5497306337327765,-0.6386362630677114
40,G_precuneus,Right,1.5303241023324237,2.1752956729944497,-0.644971570662026
41,G_temp_sup-G_T_transv,Right,-1.5322907383191355,-0.6255953748546484,-0.9066953634644871
42,S_temporal_sup,Right,-0.914199532460506,-0.14424380506013235,-0.7699557274003737
43,S_orbital_med-olfact,Right,0.01028167461367392,0.5349136005374661,-0.5246319259237922
44,G_pariet_inf-Angular,Right,0.09989709081982798,0.8184670615604398,-0.7185699707406118
45,G_and_S_cingul-Mid-Ant,Right,-1.7314768390682318,-0.8847016199878679,-0.8467752190803639
46,Lat_Fis-ant-Horizont,Right,-0.28636418444128053,0.3923301497685422,-0.6786943342098227
47,G_insular_short,Left,0.6094322319767734,1.1951689244965762,-0.5857366925198028
48,S_front_middle,Left,-0.09228556308901495,0.6446754180123123,-0.7369609811013272
49,S_intrapariet_and_P_trans,Left,0.9914937373273279,1.6469802548557595,-0.6554865175284316
50,S_oc-temp_med_and_Lingual,Left,0.2432955756148171,0.8547440891221209,-0.6114485135073038
51,G_rectus,Right,1.4330367354633966,1.9738538813606574,-0.5408171458972608
52,Pole_occipital,Left,-0.5012962045107728,-0.05412022924660205,-0.4471759752641708
53,G_cuneus,Left,2.1651242527286754,2.3983888624589564,-0.23326460973028107
54,G_and_S_frontomargin,Left,-1.362686420776972,-0.6162095980804116,-0.7464768226965603
55,S_temporal_transverse,Right,-0.6916833288344585,0.4028498045953829,-1.0945331334298414
56,S_cingul-Marginalis,Right,0.5877655977681356,1.2938685963968872,-0.7061029986287516
57,S_collat_transv_post,Left,-2.1937189456012303,-1.2789366242749718,-0.9147823213262585
58,G_front_inf-Orbital,Left,-1.639514638951773,-0.9273646506267237,-0.7121499883250493
59,G_parietal_sup,Left,0.15400489697854652,0.7354108443498439,-0.5814059473712974
60,S_suborbital,Right,0.6452094672133629,1.2040627562996875,-0.5588532890863246
61,S_calcarine,Right,-0.1046262181195588,0.48896293558513304,-0.5935891537046918
62,G_temporal_middle,Right,-1.6140515536261226,-1.0613825280565878,-0.5526690255695348
63,G_precentral,Right,0.07536078957963989,0.7769311355175518,-0.7015703459379119
64,Lat_Fis-post,Left,-1.518174496708273,-0.7884250808827663,-0.7297494158255068
65,S_precentral-inf-part,Right,0.5717992708161692,1.468450128871392,-0.8966508580552228
66,G_occipital_middle,Right,0.3948306892267468,0.8961706161218433,-0.5013399268950965
67,Pole_temporal,Left,-2.2264837800950743,-1.8844887163964619,-0.34199506369861243
68,S_precentral-sup-part,Right,0.06501813469362785,0.994732899952104,-0.9297147652584762
69,S_temporal_inf,Right,-2.148608206988315,-1.7791023729806594,-0.36950583400765535
70,G_precuneus,Left,-0.6398050070008526,-0.08444043183481431,-0.5553645751660383
